SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,year,AlerteID,Nb_localites_affectes,Choc_description,Pop_affectee_menages,Pop_affectee_individus,Date_rapport_CoPil,Nature_Choc_Violence,Nature_Choc_Catastrophe_naturelle,Nature_Choc_Autre,Type_pop_Deplaces,Type_pop_Communaute_hote,Type_pop_Retours,Type_pop_Repatries,Autre,Statut_MEX_Complete,Statut_MEX_Prevu,Statut_MEX_En_cours,Statut_MEX_En_attente,Statut_MEX_Annule,Delais_INT_Disponibilité_resources,Delais_INT_Coordination_humanitaire,Delais_INT_Defaillance_BD,Delais_INT_Intervention_multiple,Delais_INT_Autre,Delais_INT_NA,Delais_EXT_Necessite_reevaluer,Delais_EXT_Acces logistique,Delais_EXT_Suspension_logistique,Delais_EXT_Acceptance_parties_prenantes,Delais_EXT_EquipeRRM_cible_pendant_MEX,Delais_EXT_Acces_securitaire,Delais_EXT_Suspension_securitaire,Delais_EXT_NA,Delais_EXT_Autre,Annulation_Conversion_MSA,Annulation_NA,Annulation_Autre,Statut_rapport_MEX_En_cours,Statut_rapport_MEX_Envoye_CoPil,Proposition_Action_MSAcomplete,Proposition_Action_Eval_sectorielle,Proposition_Action_Monitoring_protection,Proposition_Action_Rehabilitation_acces_log,Proposition_Action_Plaidoyer_acces_securitaire,Proposition_Action_Suivi_retour_deplaces,Proposition_Action_Intervention_directe,Proposition_Action_Pas_daction,Proposition_Action_Autre,CodePrefecture,Prefecture,CodeSousPrefecture,SousPrefecture,CodeCommune,Commune,CodeArrondissement,Arrondissement,Longitude,Latitude,year,month
978093751,14.04.2015,01.04.2015,01.04.2015,PU-AMI,Golongosso,,PU_GOL_20150320,1,,80,400,2015/04/07,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,19.185650,8.924383,2015,Avril
1835262014,03.04.2015,02.04.2015,02.04.2015,ACF,Kouki,,ACF_KOU_20150325,1,,1400,7000,,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.309082,7.166343,2015,Avril
315867562,14.04.2015,02.04.2015,02.04.2015,PU-AMI,Miamani,,PU_MIA_20150320,1,,20,100,2015/04/07,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,20.000353,8.754661,2015,Avril
2080602937,14.04.2015,03.04.2015,03.04.2015,PU-AMI,Tiri,,PU_TIR_20150320,1,,85,85,2015/04/07,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,,Bamingui-Bangoran,,Ndele,,Dar El Kouti,,,20.399447,8.599117,2015,Avril
1874715476,14.04.2015,10.04.2015,10.04.2015,ACTED,Béma,,ACTED_BEM_20150327,1,,990,4950,2015/04/14,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,,Mbomou,,Ouango,,Ouango,,,22.442181,4.142042,2015,Avril
1007014761,14.04.2015,10.04.2015,10.04.2015,ACTED,Derbissaka,,ACTED_DER_20150227,1,,440,2200,,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,,Mbomou,,Rafai,,Rafai,,,24.847812,5.774286,2015,Avril
1958147984,14.04.2015,13.04.2015,15.04.2015,PU-AMI,Bamingui,,PU_BAM_20150320,1,,,709,2015/04/17,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Bamingui-Bangoran,,Bamingui,,Vassako,,,20.179799,7.530107,2015,Avril
1109874652,19.04.2015,14.04.2015,14.04.2015,DRC,Touga,,DRC_TOU_20150407,1,,6,30,,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,,Ouham Pende,,Ngaoundaye,,Lim,,,15.645415,7.443710,2015,Avril
2009863380,28.04.2015,15.04.2015,15.04.2015,ACF,Bouanga,,ACF_BOU_20150415,1,,50,250,18/04/2015,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,Kemo,,Dekoa,,,,,15.588614,6.236853,2015,Avril
144075579,28.04.2015,15.04.2015,15.04.2015,ACF,Dékoa,,ACF_DEK_20150415,1,,416,2080,20150418,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,,Kemo,,Dekoa,,Dekoa,,,19.118972,6.518772,2015,Avril
1193623784,28.04.2015,17.04.2015,17.04.2015,ACF,Bowara,,ACF_BOW_20150417,1,,1000,5000,20150420,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.384206,7.169761,2015,Avril
1630880588,27.04.2015,18.04.2015,18.04.2015,ACTED,Krakoundji,,ACTED_KRA_20150418,1,,,213,20150422,Oui,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,,Ouaka,,Bambari,,,,,20.319167,5.420694,2015,Avril
601798712,20.04.2015,21.04.2015,23.04.2015,PU-AMI,Boy bale,,PU_MBA_20150313,6,,600,3000,2015/04/26,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,,Mambere-Kadei,,Gadzi,,Mbali,,,16.757124,5.225732,2015,Avril
