DateCreated,startDate,endDate,AlerteID,Partner,OCHA_village_v3,Prefecture,SousPrefecture,Commune,Latitude,Longitude,year,NFI_WASH,Code_Prefecture,TOTAL_individus_beneficiaires_NFI,TOTAL_individus_beneficiaires_WASH
06.04.2015,30.04.2015,14.05.2015,ACTED_LIH_20150206,ACTED,Lihoto,Ouaka,Kouango,Azengue-Mindou,5.312277,20.15837,2015,NFI-WASH,,2645,2645
07.07.2016,20.05.2016,31.05.2016,ACF_San_20160404,ACF,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319,2016,NFI-WASH,,5311,2670
31.07.2019,20.06.2019,20.06.2019,ACF_ZOU_20190407,ACF,Zoukombo,Nana-Mambere,Baboua,Baboua,5.8381,14.6925,2019,NFI-WASH,,2735,2735
27.04.2015,18.04.2015,20.05.2015,ACTED_GOU_20150319,ACTED,Goussiéma,Ouaka,Kouango,Kouango,5.395833,20.12675,2015,NFI-WASH,,2675,2795
08.10.2015,23.09.2015,25.09.2015,ACTED_MAL_20150802,ACTED,Nzéleté,Basse-Kotto,Alindao,Bangui-Kette,5.087301,21.02753,2015,NFI-WASH,,4115,2835
08.03.2016,18.01.2016,16.02.2016,ACT_OBO_20151102,ACTED,Obo,Haut-Mbomou,Obo,Obo,5.387019,26.488725,2016,NFI-WASH,,1180,2910
07.05.2019,14.03.2019,14.03.2019,SOL_KAK_20190304,SI,Ouin,Ouham,Batangafo,Bede,7.484153,18.152889,2019,NFI-WASH,,6522,2933
07.05.2015,28.04.2015,14.07.2015,ACTED_DER_20150227,ACTED,Derbissaka,Mbomou,Rafai,Rafai,5.774286,24.847812,2015,NFI-WASH,,1415,2984
26.09.2017,28.08.2017,02.09.2017,ACT_ZEM_20170817,ACTED,Zemio,Haut-Mbomou,Zemio,Zemio,5.024257,25.129423,2017,NFI-WASH,,3085,3000
06.07.2015,03.07.2015,29.08.2015,PU_MBO_20150623,PU-AMI,Mboussa,Sangha-Mbaere,Nola,Nola,3.71597,16.197823,2015,WASH,,,3000
31.01.2019,04.01.2019,04.01.2019,ACF_AMA _20181004,ACF,Gbambia,Mambere-Kadei,Amada-Gaza,Haute-Boumbe,4.7721,15.1956,2019,NFI-WASH,,4853,3138
19.12.2019,23.10.2019,23.10.2019,ACF_MAR_20190927,ACF,Markounda,Ouham,Markounda,Nana Markounda,7.618329,16.961994,2019,NFI-WASH,,12430,3150
04.09.2017,20.07.2017,07.08.2017,ACF_SAN_20170629,ACF,Sangare lim,Ouham Pende,Koui,Koui,6.950599,15.358343,2017,NFI-WASH,,7259,3214
01.08.2019,29.06.2019,29.06.2019,ACF_BEZ_20190326,ACF,Bezere,Ouham Pende,Ngaoundaye,Kodi,7.103745,15.524087,2019,NFI-WASH,,3297,3297
21.01.2015,28.05.2014,30.05.2014,ACF_2014_07,ACF,Bouca,Ouham,Bouca,Bouca Bobo,6.511581,18.277989,2014,NFI-WASH,,7323,3350
30.10.2018,05.10.2018,05.10.2018,ACT_ZAB_20180823,ACTED,Zabe,Mbomou,Bakouma,Bakouma,5.8664,22.2246,2018,NFI-WASH,,2612,3399
04.07.2017,23.05.2017,05.06.2017,ACT_ALI_20170509,ACTED,Alindao,Basse-Kotto,Alindao,Alindao,5.042049,21.214987,2017,NFI-WASH,,11625,3437
03.09.2019,27.08.2019,27.08.2019,ACT_GUI_20190514,ACTED,Guenekoumba,Haut-Mbomou,Zemio,Zemio,5.093,24.585199,2019,NFI-WASH,,3439,3479
17.05.2016,10.03.2016,27.04.2016,ACT_NIA_20160208,ACTED,Niakari,Mbomou,Bangassou,Sayo Niakari,4.838819,22.753196,2016,NFI-WASH,,1290,3498
10.01.2017,21.12.2016,22.12.2016,ACT_BAK_20161127,ACTED,Grimari,Ouaka,Grimari,Grimari,5.741367,20.0552,2016,NFI-WASH,,2860,3500
23.04.2015,27.04.2015,27.05.2015,DRC_MBA_20150110,DRC,Mbada,Ouham,Bouca,Lady Gbawi,6.865547,18.562368,2015,WASH,,,3500
16.01.2020,13.12.2019,13.12.2019,ACF_DEK_20191129,SI,Bafada,Kemo,Dekoa,Dekoa,6.34665,18.997423,2019,NFI-WASH,,4652,3594
31.07.2019,20.07.2019,20.07.2019,ACF_ALI_20190629,ACF,Alim 2,Nana-Mambere,Baboua,Kounde,6.017,14.6443,2019,NFI-WASH,,2122,3597
17.07.2018,28.06.2018,07.07.2018,ACF_GAD_20180509,ACF,Gadoulou,Ouham Pende,Paoua,Paoua,7.206806,16.317528,2018,NFI-WASH,,3260,3738
21.06.2017,03.06.2017,10.06.2017,ACT_ALI_20170509,ESPERANCE,Bria,Haute-Kotto,Bria,Samba-Boungou,6.537415,21.991405,2017,NFI,,1849,3745
06.09.2017,30.04.2017,30.04.2017,SI_SIN_20170328,SI,Sindi 3,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.073504,19.185068,2017,WASH,,,3750
29.12.2017,02.12.2017,03.12.2017,ACT_AMA_20171003,ACTED,Gambo,Mbomou,Gambo,Gambo,4.649389,22.262621,2017,NFI-WASH,,3782,3782
07.01.2020,01.11.2019,01.11.2019,SOL_SID_20190903,SI,Moyenne Sido,Ouham,Kabo,Sido,8.222242,18.715504,2019,NFI-WASH-Autre,,543,3792
05.12.2017,02.11.2017,07.12.2017,ACF_BOC_20170923,ACF,Bozoum,Ouham Pende,Bozoum,Bozoum,6.318574,16.370852,2017,NFI-WASH,,2655,3809
10.01.2017,12.01.2017,16.01.2017,SI_BEH_20160902,SI,Behili 1,Ouham,Kabo,Sido,7.856883,18.110808,2017,NFI-WASH,,4145,4014
11.12.2017,23.11.2017,28.11.2017,ACF_NIE_20171114,ACF,Niem,Nana-Mambere,Bouar,Niem-Yelewa,6.198608,15.230062,2017,NFI-WASH,,3778,4015
03.10.2018,12.07.2018,12.07.2018,ACT_BAM_20180609,ACTED,Grimari,Ouaka,Grimari,Grimari,5.7648,20.6542,2018,WASH,,,4056
13.06.2017,20.05.2017,29.05.2017,ACF_MAR_20170425,ACF,Markounda,Ouham,Markounda,Nana Markounda,7.61732,16.966936,2017,NFI-WASH,,1536,4060
26.09.2018,29.08.2018,29.08.2018,ACF_KOU _20180727,ACF,Bossabina 2,Ouham Pende,Koui,Koui,6.939197,15.434181,2018,NFI-WASH,,3579,4122
08.01.2020,07.06.2019,07.06.2019,SOL_DAK_20190521,SI,Dakoyo,Ouham,Batangafo,Bede,7.475985,18.143753,2019,NFI-WASH,,6839,4125
16.10.2018,27.03.2018,27.03.2018,SOL_OUA_20180215,SI,Ouanga,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.0136,19.730499,2018,WASH,,,4380
28.02.2018,19.12.2017,20.12.2017,ACF_BOS_20171114,ACF,Bossangoa,Ouham,Bossangoa,Bossangoa,6.511491,17.457724,2017,NFI-WASH,,1645,4400
13.06.2017,03.05.2017,09.05.2017,ACF_NGA_20170404,ACF,Ngaoundaye,Ouham Pende,Ngaoundaye,Mbili,6.985813,15.258225,2017,NFI-WASH,,3068,4588
28.02.2019,14.02.2019,14.02.2019,ACF_YEL_20181110,ACF,Sabewa,Nana-Mambere,Bouar,Niem-Yelewa,6.668,14.9826,2019,NFI-WASH,,6756,4608
08.09.2017,26.08.2017,28.08.2017,ACF_BOR_20170801,ACF,Boguila 1,Ouham,Nangha Boguila,Nangha Boguila,7.13285,16.924204,2017,NFI-WASH,,2907,4662
31.07.2019,24.07.2019,24.07.2019,ACF_KOU_20190628,ACF,Kounde,Nana-Mambere,Baboua,Kounde,6.1074,14.634,2019,NFI-WASH,,4693,4693
29.05.2019,29.04.2019,29.04.2019,ACF_MAI_20190325,ACF,Maitikoulou,Ouham,Markounda,Nana-Markounda,17.6287,7.933,2019,NFI-WASH,,9215,4749
19.02.2019,28.01.2019,28.01.2019,SOL_LAD_20190111,SI,Lady,Ouham,Bouca,Lady Gbawi,7.036628,18.347197,2019,NFI-WASH,,11321,4915
26.01.2015,28.06.2014,31.07.2014,IRC_2014_01,IRC,Mann,Ouham Pende,Ngaoundaye,Kodi,7.375917,15.485058,2014,WASH,,4921,4921
27.03.2018,07.03.2018,13.03.2018,ACF_MAR_20180103,ACF,Botolna,Ouham,Markounda,Nana Markounda,7.61732,16.966936,2018,NFI-WASH,,9758,5149
29.07.2019,09.05.2019,09.05.2019,ACT_RAF_20190312,ACTED,Agoumar,Mbomou,Rafai,Rafai,4.994,23.917,2019,WASH,,,5167
14.04.2015,18.04.2015,22.04.2015,ACTED_DEM_20150317,ACTED,Dembia,Mbomou,Rafai,Rafai,5.102711,24.463914,2015,NFI-WASH,,4780,5357
09.05.2016,21.02.2016,03.03.2016,ACF_San_20160130,ACF,Bocaranga,Ouham Pende,Koui,Koui,6.996461,15.638319,2016,NFI-WASH,,4758,5936
28.02.2018,02.02.2018,09.02.2018,ACF_MBO_20180105,ACF,Ndim-Pana,Ouham Pende,Ngaoundaye,Dilouki,7.26998,15.771842,2018,NFI-WASH,,4025,6025
03.04.2018,03.03.2018,16.03.2018,SOL_NGO_20180228,SI,Ouandago 4,Nana-Gribizi,Kaga-Bandoro,Nana-Outa,7.258555,18.848758,2018,NFI-WASH,,6160,6160
01.08.2018,19.04.2018,11.06.2018,SOL_DOU_20180403,SI,Doukoumbe 1,Nana-Gribizi,Kaga-Bandoro,Botto,6.960507,19.043544,2018,NFI-WASH,,6254,6254
24.07.2018,19.05.2018,02.07.2018,ACT_RAF_20180326,ACTED,Rafai,Mbomou,Rafai,Rafai,4.969394,23.933396,2018,NFI-WASH,,3444,6441
03.07.2018,20.06.2018,26.06.2018,SOL_MAR_20180529,SI,Kozoro 2,Ouham,Bouca,Lady Gbawi,6.833451,18.505882,2018,NFI-WASH,,6474,6474
03.04.2018,01.03.2018,17.03.2018,SOL_SOM_20180228,SI,Somboke,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.527232,19.11448,2018,NFI-WASH,,6540,6540
02.08.2015,28.07.2015,05.08.2015,SI_NDE_20150706,SI,Kaga-Bandoro,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,6.992369,19.185733,2015,NFI-WASH,,6550,6550
