"type","id","locationName","partnerName","activity","activityName","startDate","endDate","Population_affectee_total_menages","Nombre_de_localités.villages.sites_afféctés","Population_affectee_total_individus","Acces_humanitaire.Oui","Acces_humanitaire.Non_securite","Acces_humanitaire.Non_logistique","Acces_humanitaire.Non_autre","Continue_Investigation.Non","Continue_Investigation.Oui","Alerte_en_cours.Non","Alerte_en_cours.Oui","Nature_du_choc.Violences","Nature_du_choc.Catastrophe_naturelle","Nature_du_choc.Autre","Population_affectee.Deplaces","Population_affectee.Communaute_hote","Population_affectee.Retours","Population_affectee.Autre","type.1","geo","X","Y","month","year","REGION_NOM","PREF_NOM","SPREF_NOM","COM_NOM","acces","continu","alerte_cours","nature","pop_affect"
"Feature","900454732","Ndinguiri","PU-AMI","16228","ALERTES","2015-04-25","2015-04-25","25","5","125","Non - logistique",NA,NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Non","Non","Oui","Non","Point","4.886027,16.336991","16.336991","4.886027","2015-04","2015","Equateur","Mambéré-Kadéï","Gadzi","Topia","Non - logistique","Non","Non","Violence","Non Non Oui Non"
"Feature","914915208","Lihoto","ACTED","16228","ALERTES","2015-02-06","2015-02-06","1600","0","1800","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","5.312277,20.15837","20.15837","5.312277","2015-02","2015","Kagas","Ouaka","Kouango","Azéngué-Mindou","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","951466354","Bogbatoyo","ACF","16228","ALERTES","2014-11-18","2015-02-17","0","1","500","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","6.299334,15.605226","15.605226","6.299334","2014-11","2014","Equateur","Nana-Mambéré","Bouar","Herman-Brousse","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","996289601","Kabo","SI","16228","ALERTES","2015-02-02","2015-03-09","352","1","1765","Non - logistique",NA,NA,NA,"Non",NA,"1","Non",NA,NA,"1","Non","Non","Oui","Non","Point","7.697565,18.629944","18.629944","7.697565","2015-02","2015","Yadé","Ouham","Kabo","Sido","Non - logistique","Non","Non","NA","Non Non Oui Non"
"Feature","1008409191","Bocaranga","DRC","16228","ALERTES","2015-02-25","2015-02-25","0","1","0",NA,"Oui",NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.580138,15.359947","15.359947","6.580138","2015-02","2015","Yadé","Ouham Pendé","Koui","Koui","Oui","Non","Non","Violence","Non Oui Non Non"
"Feature","1064269516","Gadzi","PU-AMI","16228","ALERTES","2015-04-22","2015-04-22","80","3","400","Non - logistique",NA,NA,NA,NA,"Oui","1","Non","Violence",NA,"0","Non","Oui","Oui","Non","Point","4.779685,16.704898","16.704898","4.779685","2015-04","2015","Equateur","Mambéré-Kadéï","Gadzi","Topia","Non - logistique","Oui","Non","Violence","Oui Non Oui Non"
"Feature","1085341919","Ngoulinga","ACTED","16228","ALERTES","2015-03-05","2015-03-05","0","0","95","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","5.709005,20.069115","20.069115","5.709005","2015-03","2015","Kagas","Ouaka","Grimari","Grimari","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1088044255","Dilapoko","PU-AMI","16228","ALERTES","2015-04-20","2015-04-20","0","2","0",NA,"Oui",NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Oui","Non","Non","Point","4.36372,15.09166","15.09166","4.36372","2015-04","2015","Equateur","Mambéré-Kadéï","Gamboula","Basse-Boumné","Oui","Oui","Oui","Violence","Oui Oui Non Non"
"Feature","1140931710","Togo","ACTED","16228","ALERTES","2015-03-12","2015-03-12","203","0","1016","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","5.880615,20.57274","20.57274","5.880615","2015-03","2015","Kagas","Ouaka","Bambari","Pladama-Ouaka","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1181755268","Botto","SI","16228","ALERTES","2015-01-27","2015-04-15","1157","15","5785",NA,"Oui",NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.975222222,19.10066667","19.10066667","6.975222222","2015-01","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Botto","Oui","Non","Non","Violence","Non Oui Non Non"
"Feature","1190891277","Mbres","SI","16228","ALERTES","2014-12-16","2015-02-28","525","1","0",NA,"Oui",NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.667027,19.799937","19.799937","6.667027","2014-12","2014","Kagas","Nana-Gribizi","Mbrès","Mbrés","Oui","Non","Non","Violence","Non Oui Non Non"
"Feature","1234421007","Tabara","ACTED","16228","ALERTES","2015-04-29","2015-04-29","0","3","0","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","5.939525,20.54401111111","20.54401111111","5.939525","2015-04","2015","Kagas","Ouaka","Bambari","Pladama-Ouaka","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1256455824","Bombere-Kota","ACF","16228","ALERTES","2014-01-28","2014-01-28","76","1","399","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","6.914322,17.548962","17.548962","6.914322","2014-01","2014","Yadé","Ouham","Bossangoa","Ben Zambé","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1318087270","Mobaye - gp Mangbango","ACTED","16228","ALERTES","2015-02-17","2015-02-17","558","0","4469","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Oui","Point","4.319708,21.176833","21.176833","4.319708","2015-02","2015","Haut-Oubangui","Basse-Kotto","Mobaye","Mobaye","Non - logistique","Oui","Oui","Violence","Non Oui Non Oui"
"Feature","1327025326","Dere 1","SI","16228","ALERTES","2015-02-28","2015-03-18","0","0","1846","Non - logistique",NA,NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Oui","Non","Non","Non","Point","6.822976,19.218654","19.218654","6.822976","2015-02","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Ndenga","Non - logistique","Non","Non","Violence","Non Oui Non Non"
"Feature","1339015537","Nao","PU-AMI","16228","ALERTES","2015-03-03","2015-03-03","20","1","0","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","4.526812,15.318057","15.318057","4.526812","2015-03","2015","Equateur","Mambéré-Kadéï","Berbérati","Ouakanga","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1378588173","Dembia","ACTED","16228","ALERTES","2015-04-25","2015-04-25","0","1","1600","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","5.10271111111,24.46391388889","24.46391388889","5.10271111111","2015-04","2015",NA,NA,NA,NA,"Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1404871050","Goussiéma","ACTED","16228","ALERTES","2015-03-19","2015-03-19","520","0","2600","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Oui","Non","Non","Point","5.39583333333,20.12675","20.12675","5.39583333333","2015-03","2015","Kagas","Ouaka","Kouango","Azéngué-Mindou","Non - logistique","Oui","Oui","Violence","Oui Oui Non Non"
"Feature","1417911225","Amada Gaza","PU-AMI","16228","ALERTES","2015-02-13","2015-02-13","0","1","0","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","4.76865833333,15.20911111111","15.20911111111","4.76865833333","2015-02","2015","Equateur","Mambéré-Kadéï","Amada-Gaza","Haute-Boumbé","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1448219181","Bokaioua","DRC","16228","ALERTES","2015-02-09","2015-02-09","1128","8","9024","Non - logistique",NA,NA,NA,"Non",NA,"1","Non","Violence",NA,"0","Non","Oui","Oui","Non","Point","7.279787,18.538442","18.538442","7.279787","2015-02","2015","Yadé","Ouham","Kabo","Ouaki","Non - logistique","Non","Non","Violence","Oui Non Oui Non"
"Feature","1500159090","Gbakara","ACF","16228","ALERTES","2015-02-23","2015-02-23","13","1","65","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui",NA,"Castastrophe naturelle","0","Non","Oui","Non","Non","Point","6.436505,17.641028","17.641028","6.436505","2015-02","2015","Yadé","Ouham","Bossangoa","Soumbé","Non - logistique","Oui","Oui","Castastrophe naturelle","Oui Non Non Non"
"Feature","1507015003","Ndenga","SI","16228","ALERTES","2015-03-20","2015-04-24","1351","8","0",NA,"Oui",NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","6.759629,19.26045","19.26045","6.759629","2015-03","2015","Kagas","Nana-Gribizi","Kaga-Bandoro","Ndenga","Oui","Oui","Oui","Violence","Non Oui Non Non"
"Feature","1533023170","Badama","DRC","16228","ALERTES","2015-04-14","2015-04-14","276","1","848","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Oui","Non","Non","Point","7.57463,16.99266","16.99266","7.57463","2015-04","2015","Yadé","Ouham","Markounda","Nana Markounda","Non - logistique","Oui","Oui","Violence","Oui Oui Non Non"
"Feature","1602173988","Besson","ACF","16228","ALERTES","2015-04-19","2015-04-25","0","1","0",NA,"Oui",NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Non","Oui","Non","Non","Point","6.258945,14.816071","14.816071","6.258945","2015-04","2015","Equateur","Nana-Mambéré","Baboua","Goudrot","Oui","Oui","Oui","Violence","Oui Non Non Non"
"Feature","1647061525","Derbissaka","ACTED","16228","ALERTES","2015-02-27","2015-02-27","350","1","1750",NA,NA,"Non - sécurité",NA,NA,"Oui","0","Oui","Violence",NA,"0","Non","Non","Oui","Non","Point","5.774286,24.847812","24.847812","5.774286","2015-02","2015","Haut-Oubangui","Mbomou","Rafai","Rafai","Non - sécurité","Oui","Oui","Violence","Non Non Oui Non"
"Feature","1650863336","Sabewa","ACF","16228","ALERTES","2015-02-04","2015-02-04","100","1","500","Non - logistique",NA,NA,NA,NA,"Oui","0","Oui","Violence",NA,"0","Oui","Non","Non","Non","Point","6.66801666666667,14.9826055555556","14.9826055555556","6.66801666666667","2015-02","2015","Equateur","Nana-Mambéré","Bouar","Niem-Yelewa","Non - logistique","Oui","Oui","Violence","Non Oui Non Non"
