DateCreated,startDate,endDate,Partner,year,AlerteID,Menage_deplaces,Individus_deplaces,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,MSAcount,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude
26.06.2018,02.06.2018,14.06.2018,ACF,2018,ACF_GOU_20180511,1085,7897,4.4,11,0,90,,Oui,Oui,Oui,Non,Oui,Oui,Non,Gouze,Ouham Pende,Paoua,Banh,7.05699,16.369279
06.06.2018,28.05.2018,29.05.2018,ACF,2018,ACF_MAI_20180402,1997,4665,4.7,25,0,83,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Botolna,Ouham,Markounda,Nana Markounda,7.925992,17.625642
06.06.2018,02.05.2018,05.05.2018,ACF,2018,ACF_BON_20180326,479,2395,37,0,4,91,,Non,Oui,Oui,Non,Oui,Oui,Non,Bondoro-Kota,Ouham,Markounda,Nana Markounda,7.366134,16.85373
03.06.2018,29.05.2018,31.05.2018,ACTED,2018,ACT_OUA_20180514,907,4535,4,68,1,23,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ouazzoua,Mbomou,Ouango,Ouango,4.273589,22.4272
21.05.2018,22.04.2018,22.04.2018,SI,2018,SOL_LAZ_20180421,0,0,0,0,0,0,,Oui,Oui,Non,Non,Non,Non,Non,Kaga-Bandoro,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,5.911797,15.40827
15.05.2018,08.05.2018,10.05.2018,ACTED,2018,ACT_ALI_20180420,0,0,4,97,0,0,,Oui,Non,Non,Non,Non,Non,Non,Alindao,Basse-Kotto,Alindao,Alindao,4.96836,21.316256
12.05.2018,02.05.2018,05.05.2018,ACF,2018,ACF_BOS_20180424,492,2462,4.1,15,15,31,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Geodi 2,Ouham Pende,Koui,Koui,6.934899,15.45952
07.05.2018,05.04.2018,06.04.2018,SI,2018,SOL_DOU_20180403,1500,7500,4.2,20,0,80,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Doukoumbe 1,Nana-Gribizi,Kaga-Bandoro,Botto,6.960507,19.043544
16.04.2018,10.04.2018,11.04.2018,ACF,2018,ACF_TOU_20180408,694,3470,4.1,54,0,95,,Non,Oui,Oui,Oui,Oui,Oui,Non,Kate,Ouham Pende,Ngaoundaye,Yeme,7.508586,16.096793
12.03.2018,28.02.2018,28.03.2018,SI,2018,SOL_NGO_20180228,390,1784,0,0,0,30,,Oui,Oui,Oui,Non,Non,Non,Non,Ouandago 4,Nana-Gribizi,Kaga-Bandoro,Nana-Outa,7.258555,18.848758
12.03.2018,27.02.2018,27.02.2018,SI,2018,SOL_SOM_20180228,1704,8522,0,0,2,0,,Oui,Oui,Oui,Non,Non,Non,Non,Somboke,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.527232,19.11448
12.03.2018,22.02.2018,23.02.2018,SI,2018,SOL_OUA_20180215,659,3730,4.1,4,4,38,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ouanga,Nana-Gribizi,Kaga-Bandoro,Grivai-Pamia,7.013593,19.730502
28.02.2018,21.02.2018,22.02.2018,ACF,2018,ACF_VAK_20180219,360,2340,4.1,15,0,82,,Oui,Oui,Oui,Non,Oui,Oui,Non,Vakap,Nana-Mambere,Bouar,Herman-Brousse,6.160218,15.542249
28.02.2018,23.01.2018,26.01.2018,ACF,2018,ACF_MAR_20180103,352,2338,4.6,15,20,54,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Botolna,Ouham,Markounda,Nana Markounda,7.61732,16.966936
15.02.2018,06.02.2018,09.02.2018,ACTED,2018,ACT_DEM_20171120,1000,3509,4.3,46,16,45,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Dembia,Mbomou,Rafai,Rafai,5.109827,24.461078
29.01.2018,19.01.2018,24.01.2018,ACF,2018,ACF_MBO_20180105,1000,5000,4.2,3,,99,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ndim-Pana,Ouham Pende,Ngaoundaye,Dilouki,7.26998,15.771842
24.01.2018,19.01.2018,20.01.2018,SI,2018,SOL_ZEF_20180118,350,1750,4.3,100,2,98,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Zéfio,Nana-Gribizi,Kaga-Bandoro,Botto,6.994852,19.149206
24.01.2018,13.01.2018,16.01.2018,SI,2018,SOL_KAM_20171226,750,4800,4.6,39,1,11,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Ouham,Batangafo,Bédé,7.166443,17.871756
23.01.2018,18.01.2018,20.01.2018,ACTED,2018,ACT_YAM_20180108,520,2382,4.1,60,3,58,,Oui,Oui,Non,Oui,Oui,Oui,Non,Batobadja,Basse-Kotto,Alindao,Yambele-Ewou,5.412919,21.14895
06.01.2018,04.12.2017,08.12.2017,ACF,2017,ACF_BOS_20171114,150,727,4,9,19,76,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Bossangoa,Ouham,Bossangoa,Bossangoa,6.511491,17.457724
04.01.2018,27.12.2017,29.12.2017,ACTED,2017,ACT_NDA_20171219,594,2353,4,60,0,94,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Ndassima,Ouaka,Bambari,Danga-Gboudou,6.139213,20.777774
29.12.2017,12.12.2017,12.12.2017,SI,2017,SI_NDO_20171208,652,3260,4,9,8,94,,Oui,Oui,Non,Non,Non,Non,Non,Ndowara,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,6.949698,19.188687
28.12.2017,13.12.2017,14.12.2017,SI,2017,SI_KOT_20171208,740,3759,4,27,2,100,,Oui,Non,Non,Non,Non,Non,Non,Koddo,Nana-Gribizi,Kaga-Bandoro,Givrai-Pamia,7.064031,19.184959
27.11.2017,06.11.2017,09.11.2017,ACTED,2017,ACT_ZEM_20170817,4271,21355,4,45,36,98,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Zemio,Haut-Mbomou,Zemio,Zemio,5.024257,25.129423
26.11.2017,15.11.2017,17.11.2017,ACF,2017,ACF_NIE_20171114,0,0,4,11,0,75,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Niem,Nana-Mambere,Bouar,Niem-Yelewa,6.198608,15.230062
13.11.2017,08.11.2017,09.11.2017,SI,2017,SI_BOT_20171107,0,0,4,43,2,48,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Botto,Nana-Gribizi,Kaga-Bandoro,Botto,6.975222,19.100667
07.11.2017,31.10.2017,01.11.2017,SI,2017,SI_BAM_20171030,0,0,4,9,0,26,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Bamatara,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.842788,19.21151
31.10.2017,16.10.2017,20.10.2017,ACF,2017,ACF_BOC_20170924,677,3388,0,0,0,43,,Non,Oui,Non,Non,Non,Non,Non,Bozoum,Ouham Pende,Bozoum,Bozoum,6.318574,16.370852
23.10.2017,02.10.2017,03.10.2017,ACF,2017,ACF_NIE_20170831,695,3475,4,2,3,85,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Gallo,Nana-Mambere,Baboua,Bingue,5.637143,15.411145
