SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v3,year,AlerteID,NFI_WASH,satisfaction_globale_qualite,satisfaction_globale_quantite,qualite_baches,qualite_bidons,qualite_nattes,qualite_couvertures,qualite_kits_cuisine,qualite_moustiquaires,qualite_savons,qualite_seaux,quantite_baches,quantite_bidons,quantite_nattes,quantite_couvertures,quantite_kits_cuisine,quantite_moustiquaires,quantite_savons,quantite_seaux,Code_Prefecture,Prefecture,SousPrefecture,Commune,Longitude,Latitude
408929527,22.07.2016,14.06.2016,16.06.2016,ACF,Bocaranga,2016,ACF_San_20160130,NFI,,,98,,97,99,99,,,,84,,61,58,84,,,,,Ouham Pende,Koui,Koui,15.638319,6.996461
1643031923,22.07.2016,13.06.2016,14.06.2016,ACF,Koui,2016,ACF_SA2_20160404,NFI,,,100,,98,100,100,,,,83,,65,62,84,,,,,Ouham Pende,Koui,Koui,15.453221,6.951955
748708071,16.06.2015,22.05.2015,22.05.2015,ACTED,Ngakobo,2015,ACTED_NGA_20150208,NFI - WASH,,,85,,63,49,100,,,,60,,70,68,85,,,,,Ouaka,Bambari,Ngougbia,20.730846,5.339652
447787463,26.10.2016,04.10.2016,05.10.2016,ACTED,Tambourah,2016,ACT_TAM_20160119,NFI - WASH,,,,,90,90,100,,,,,,61,67,86,,,,,Haut-Mbomou,Zemio,Zemio,25.219842,5.17573
816886527,31.10.2016,06.10.2016,07.10.2016,ACTED,Dembia,2016,ACT_DEM_20160319,NFI - WASH,,,100,,90,91,100,,,,100,,63,67,87,,,,,Mbomou,Rafai,Rafai,25.078602,5.955747
1315739604,29.08.2016,08.08.2016,10.08.2016,ACTED,Kouango,2016,ACT_KOU_20160318,NFI - WASH,,,94,,92,100,99,,,,89,,87,88,95,,,,,Ouaka,Kouango,Kouango,19.97361,4.992821
1823293456,12.07.2016,14.06.2016,15.06.2016,ACTED,Ndassima,2016,ACT_NDA_20160220,NFI - WASH,,,98,,,100,100,,,,95,,90,83,99,,,,,Ouaka,Bambari,Danga-Gboudou,20.777868,6.138944
518659876,08.06.2016,18.05.2016,19.05.2016,SI,Mbres,2016,SI_MB2_20160129,NFI,,,,,14,98,,,,,,,31,28,,,,,,Nana-Gribizi,Mbres,Mbres,19.799937,6.667027
729266548,17.02.2016,21.01.2016,21.01.2016,SI,Lakouetene,2016,SI_MBR_20150924,NFI,,,97,,94,97,,,,,44,,43,47,,,,,,Nana-Gribizi,Mbres,Mbres,19.821494,6.609372
575278011,06.05.2016,28.03.2016,30.03.2016,ACF,Sangare lim,2016,ACF_SAN_20151221,NFI,,,93,,100,100,,,,,56,,53,53,,,,,,Ouham Pende,Koui,Koui,15.358343,6.950599
1965058042,22.09.2015,27.08.2015,03.09.2015,SI,Kaga-Bandoro,2015,SI_NDE_20150706,NFI,,,100,,98,82,,,,,100,,65,53,,,,,,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,19.185733,6.992369
1047678757,31.03.2015,08.03.2015,08.03.2015,ACF,Bondiba,2015,ACF_BON_20141216,NFI - WASH,,,88,,88,88,,,,,53,,55,59,,,,,,Nana-Mambere,Baboua,Baboua,14.794725,5.535135
141089390,16.06.2015,16.06.2015,17.06.2015,ACTED,Dembia,2015,ACTED_DEM_20150317,NFI,,,82,,91,57,,,,,64,,78,64,,,,,,Mbomou,Rafai,Rafai,25.078602,5.955747
1191515334,10.05.2016,07.04.2016,08.04.2016,ACTED,Obo,2016,ACT_OBO_20151102,NFI - WASH,,,71,,,,,,,,58,,59,65,,,,,,Haut-Mbomou,Obo,Obo,26.488725,5.387019
1001671414,14.07.2015,28.05.2015,29.05.2015,SI,Kaga-Bandoro,2015,SI_NDE_20150320,NFI - WASH,,,92,,96,56,,,,,62,,47,75,,,,,,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,19.185733,6.992369
1142541944,25.07.2016,04.07.2016,05.07.2016,ACTED,Mabo,2016,ACT_MAB_20160203,NFI - WASH,,,,,90,91,,,,,,,82,81,,,,,,Mbomou,Gambo,Gambo,22.533842,4.666018
157751716,30.05.2016,21.04.2016,28.04.2016,SI,Mbres,2016,SI_MBR_20160129,NFI,,,,,43,99,,,,,,,90,83,,,,,,Nana-Gribizi,Mbres,Mbres,19.799937,6.667027
1228740549,17.02.2016,08.12.2015,08.12.2015,SI,Ouandago,2016,SI_OUA_20150923,NFI - WASH,,,100,,98,99,,,,,84,,77,85,,,,,,Nana-Gribizi,Kaga-Bandoro,Nana-Outa,18.847806,7.250732
1501385292,05.10.2016,20.08.2016,22.08.2016,ACF,Mann,2016,ACF_Man_20160601,NFI,,,,,,,,,,,,,,,,,,,,Ouham Pende,Ngaoundaye,Kodi,15.485058,7.375917
323477132,14.04.2015,24.04.2015,25.04.2015,ACF,Sabewa,2015,ACF_SAB_20150204,NFI,,,,,,,,,,,,,,,,,,,,Nana-Mambere,Bouar,Niem-Yelewa,14.982606,6.668017
,09.10.2018,07.08.2018,09.08.2018,ACTED,Batobadja,2018,ACT_YAM_20180108,WASH,,,,,,,,,,,,,,,,,,,,Ouaka,Bambari,Ngougbia,21.149,5.414097
,26.06.2018,16.02.2018,16.02.2018,SI,Kaga-Bandoro,2018,SOL_NDO_20171208,NFI,,,,,,,,,,,,,,,,,,,,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,19.191543,6.990379
1909236149,07.10.2015,19.10.2015,20.10.2015,ACTED,Nzéleté,2015,ACTED_MAL_20150802,NFI - WASH,,,,,,,,,,,,,,,,,,,,Basse-Kotto,Alindao,Bangui-Kette,21.02753,5.087301
1509185411,20.05.2015,11.05.2015,11.05.2015,ACF,Kaboro,2015,ACF_KAB_20150305,NFI - WASH,,,,,,,,,,,,,,,,,,,,Ouham,Nana-Bakassa,Nana-Bakassa,17.529444,6.970833
1840947785,17.04.2015,14.04.2015,16.04.2015,SI,Kaga-Bandoro,2015,SI_BOT_20150127,NFI,,,,,,,,,,,,,,,,,,,,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,19.185733,6.992369
386853169,14.04.2015,21.04.2015,22.04.2015,ACF,Gbabiro,2015,ACF_GBA_20150218,NFI - WASH,,,,,,,,,,,,,,,,,,,,Ouham,Bossangoa,Ben Zambe,17.69758,6.849218
697761751,14.04.2015,23.04.2015,24.04.2015,ACF,Bofire,2015,ACF_GBB_20150220,NFI,,,,,,,,,,,,,,,,,,,,Ouham,Bossangoa,Ben Zambe,17.766026,6.71861
