AlerteID,DateCreated,Partner,OCHA_village_v2,Prefecture,SousPrefecture,Commune,Latitude,Longitude,Nb_localites_affectes,Nature_choc,Pop_affectee_menages,Pop_affectee_individus,Pop_affectee_Deplaces,Pop_affectee_Retours,Pop_affectee_Communaute_hote,Pop_affectee_Autre,startDate,endDate,year
SI_,11.03.2019,SI,Kakosso,Ouham,Batangafo,Bede,7.484153,18.152889,10,Violences,,,Non,Oui,Non,Non,11.03.2019,11.03.2019,2019
ACF_TOU_20180408,08.03.2019,ACTED,Zemio,Haut-Mbomou,Zemio,Zemio,5.0243,25.1294,1,Violences,230,1200,Oui,Oui,Non,Non,08.03.2019,08.03.2019,2019
SOL_DIS_20190222,01.03.2019,SI,Dissikou,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.458875,19.144075,5,Violences,2868,14033,Non,Non,Oui,Non,01.03.2019,01.03.2019,2019
SOL_OUA_20190226,01.03.2019,SI,Ouandago,Nana-Gribizi,Kaga-Bandoro,Nana-Outa,7.2507,18.847799,4,Autre,,,Non,Non,Non,Non,01.03.2019,01.03.2019,2019
ACT_LIO_20190226,26.02.2019,ACTED,Lihoto,Ouaka,Kouango,Azengue-Mindou,5.3123,20.1584,2,Violences,,,Non,Non,Oui,Non,26.02.2019,26.02.2019,2019
ACT_KRA_20190221,22.02.2019,ACTED,Ndassima,Ouaka,Bambari,Danga-Gboudou,6.1579,20.792299,1,Autre,100,500,Non,Non,Oui,Non,22.02.2019,22.02.2019,2019
ACT_POU_20190221,22.02.2019,ACTED,Mbo-Pouloubou,Basse-Kotto,Mingala,Kotto,5.1262,21.639299,1,Violences,488,2440,Non,Non,Oui,Non,22.02.2019,22.02.2019,2019
ACF_BOG_20190207,18.02.2019,ACF,Boyali,Nana-Mambere,Baoro,Yoro-Samba Bougoulou,5.3201,15.9884,5,Violences,1000,5000,Oui,Non,Non,Non,18.02.2019,18.02.2019,2019
SOL_KAG_20190207,08.02.2019,SI,Kaga-Bandoro,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro,6.999333,19.182167,1,Autre,400,2000,Non,Non,Oui,Non,08.02.2019,08.02.2019,2019
SOL_NGO_20190205,05.02.2019,SI,Ngouaka 1,Nana-Gribizi,Kaga-Bandoro,Botto,7.0415,19.128599,3,Violences,42,210,Oui,Non,Non,Non,05.02.2019,05.02.2019,2019
ACF_KOZ_20190201,04.02.2019,ACF,Kozoro 1,Ouham,Bouca,Lady Gbawi,6.833325,18.510538,4,Violences,100,500,Oui,Non,Non,Non,04.02.2019,04.02.2019,2019
SOL_BAM_20190122,03.02.2019,SI,Bamatara,Nana-Gribizi,Kaga-Bandoro,Botto,7.0047,19.0508,1,Violences,500,2500,Oui,Non,Non,Non,03.02.2019,03.02.2019,2019
ACT_AGO_20190131,31.01.2019,ACTED,Agoudou-Manga,Ouaka,Bambari,Danga-Gboudou,5.8823,20.9126,1,Violences,203,762,Oui,Non,Non,Non,31.01.2019,31.01.2019,2019
ACF_,28.01.2019,ACF,Gbangoro-Kota,Ouham,Markounda,Nana Markounda,7.549471,16.91363,2,Autre,144,720,Non,Oui,Non,Non,28.01.2019,28.01.2019,2019
ACF_ZAO _20190123,24.01.2019,ACF,Zaoro soungou,Mambere-Kadei,Gadzi,Topia,5.0412,16.215799,3,Violences,320,1600,Oui,Non,Non,Non,24.01.2019,24.01.2019,2019
ACF_MBO_20190111,21.01.2019,ACF,Mbormon,Nana-Mambere,Baoro,Bawi Tedoa,5.6113,16.1803,1,Autre,0,0,Oui,Non,Non,Non,21.01.2019,21.01.2019,2019
ACF_BOK_20190109,21.01.2019,ACF,Bokayan,Ouham Pende,Bozoum,Birvan-Bole,6.1176,15.8516,1,Violences,260,1300,Oui,Non,Non,Non,21.01.2019,21.01.2019,2019
SOL_MEN_20190114,14.01.2019,SI,Mengue Bokengue,Nana-Gribizi,Kaga-Bandoro,Ndenga,6.923251,19.19013,3,Violences,,,Oui,Non,Non,Non,14.01.2019,14.01.2019,2019
