SiteId,DateCreated,startDate,endDate,Partner,OCHA_village_v2,Axe,AlerteID,Nb_localités_affectés,Menage_deplaces,Individus_deplaces,Menage_retournes,Individus_retournes,Menages_acceuil,Individus_acceuil,individus_communaute_hote,menages_communaute_hote,Date_rapport_envoyé_CoPil,Score_NFI,X_de_menages_vivant_ds_un_abris_en_dessous_des_standard,X_des_menages_ayant_acces_a_une_latrine_hygienique,X_des_menages_avec_un_source_eau_potable_amelioree,Taux_diarrhee_chez_les_enfants_de_moins_de_5_ans_..._au_cours_des_2_dernieres_semaines,Score_Consommation_alimentaire,X_score_de_Consommation_alimentaire_Acceptable,X_score_de_Consommation_alimentaire_Limite,X_score_de_Consommation_alimentaire_Pauvre,X_d.ecole_fonctionnelles,MSAcount,Population_affectees,Status_Complete,Status_Prevu,Status_En_cours,Status_En_attente,Status_Annule,Delai_INT_Disponibilite,Delai_INT_Coordination_humanitaire,Delai_INT_Defaillance_BD,Delai_INT_Intervention_multiple,Delai_INT_NA,Delai_INT_Autre,Delai_EXT_Necessite_reevaluer,Delai_EXT_Acces_logistique,Delai_EXT_Suspension_logistique,Delai_EXT_Acceptance_parties_prenantes,Equipe RRM ciblé ou touché par un incident pendant la MSA,Delai_EXT_Acces_securitaire,Delai_EXT_Suspension_securitaire,Delai_EXT_NA,Delai_EXT_Autre,Annulation_Conversion_MEX,Annulation_Planification,Annulation_Autre,Annulation_NA,Status_Rapport_En cours,Status_Rapport_Envoye_CoPil,Recommandation_Intervention_NFI,Recommandation_Intervention_EAH,Recommandation_Pas_intervention,Recommandation_Intervention_Sante,Recommandation_Intervention_Protection,Recommandation_Securite_Alimentaire,Recommandation_Intervention_Education,Recommandation_Intervention_Logistique,Code_Prefecture,Prefecture,Code_SousPréfecture,SousPrefecture,Code_Commune,Commune,Code_Arrondissement,Arrondissement,Longitude,Latitude,year,month,startDate
240948762,27.02.2015,14.08.2014,15.08.2014,DRC,Batangafo,,DRC_BAT_20150302,,0,17000,0,0,0,29539,,,,3.8,0,15,96,,,48,27,25,0,1,,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Batangafo,,Batangafo,,,18.285135,7.300987,2014,Août,14.08.2014
2026183658,27.02.2015,18.08.2014,18.08.2014,ACF,Gbakoui,,ACF_2014_13,,0,10052,0,0,182,9081,,,,4.6,9,1,67,,,10,19,71,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Bouca,,Lady Gbawi,,,18.341786,7.039921,2014,Août,18.08.2014
306163700,27.02.2015,19.08.2014,19.08.2014,DRC,Bogama 2,,DRC_2014_02,,0,527,0,1954,0,0,,,,4.2,16,0,66,,,31,21,49,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Kabo,,Ouaki,,,18.710894,7.257593,2014,Août,19.08.2014
485071939,27.02.2015,24.08.2014,25.08.2014,IRC,Kaga-Bandoro,,IRC_2014_17,,661,3635,0,0,0,30440,,,,4.3,11,1,75,,,14,22,64,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,,19.191543,6.990379,2014,Août,24.08.2014
1839395729,27.02.2015,31.08.2014,03.09.2014,ACTED,Obo,,ACTED_2014_18,,4000,20000,0,0,0,0,,,,3.3,24,68,66,,,43,44,14,100,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Haut-Mbomou,,Obo,,Obo,,,26.488725,5.387019,2014,Août,31.08.2014
859817367,27.02.2015,09.09.2014,09.09.2014,PU-AMI,Berberati,,PU-AMI_2014_03,,0,1600,0,0,0,78000,,,,3.7,0,0,72,,,53,34,13,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Mambere-Kadei,,Berberati,,Basse-Batouri,,,15.787529,4.255473,2014,Septembre,09.09.2014
2082172285,27.02.2015,10.09.2014,10.09.2014,ACTED,Kongokouba,,ACTED_2014_13,,0,0,0,0,0,0,,,,4.3,41,47,0,,,8,41,51,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Ngougbia,,,20.828628,5.498009,2014,Septembre,10.09.2014
1807269196,27.02.2015,11.09.2014,12.09.2014,ACTED,Ngakobo,,ACTED_2014_17,,5000,0,0,0,1000,0,,,,4.2,0,22,81,,,33,30,38,100,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouaka,,Bambari,,Ngougbia,,,20.730846,5.339652,2014,Septembre,11.09.2014
959852081,27.02.2015,16.09.2014,17.09.2014,PU-AMI,Yandoce,,PU-AMI_2014_02,,0,681,0,0,0,18251,,,,3.9,0,0,35,,,47,31,22,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Mambere-Kadei,,Dede-Mokouba,,Haute-KadÃ©i,,,15.418131,3.921287,2014,Septembre,16.09.2014
635893508,27.02.2015,28.09.2014,28.09.2014,IRC,Nana-Bakassa,,IRC_2014_12,,0,0,0,0,7516,1504,,,,4.3,5,4,92,,,18,17,65,0,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Ouham,,Nana-Bakassa,,Nana-Bakassa,,,17.282323,6.986891,2014,Septembre,28.09.2014
960128470,14.04.2015,04.11.2014,04.11.2014,ACTED,Lebada,,ACTED_LEB_20141021,,1500,7500,,,,,,,2015/04/13,4.6,34,29,32,17,,31,17,53,34,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouaka,,Bambari,,Pladama-Ouaka,,,20.544786,5.854284,2014,Novembre,04.11.2014
915456500,23.03.2015,15.01.2015,16.01.2015,SI,Kabo,,SI_KAB_20150113,,79,395,273,1365,,,,,2015/02/03,4.4,100,0,0,15,30,,,,0,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,,Ouham,,Kabo,,Sido,,,18.623028,7.688983,2015,Janvier,15.01.2015
